,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_dist[Adell, Jo]",-2.592,0.313,-3.187,-2.007,0.003,0.004,9228.0,6290.0,1.0
"beta_dist[Alcántara, Kevin]",-2.72,0.502,-3.66,-1.773,0.004,0.007,13330.0,4860.0,1.0
"beta_dist[Alexander, CJ]",-2.795,0.487,-3.714,-1.87,0.005,0.007,11233.0,4922.0,1.0
"beta_dist[Andujar, Miguel]",-2.607,0.446,-3.459,-1.784,0.004,0.005,10880.0,5711.0,1.0
"beta_dist[Anthony, Roman]",-3.106,0.386,-3.889,-2.431,0.005,0.005,6649.0,5297.0,1.0
"beta_dist[Azocar, José]",-2.674,0.473,-3.515,-1.746,0.004,0.006,11736.0,5405.0,1.0
"beta_dist[Baddoo, Akil]",-2.749,0.492,-3.696,-1.813,0.004,0.007,12237.0,4971.0,1.0
"beta_dist[Bader, Harrison]",-2.805,0.488,-3.733,-1.871,0.005,0.007,11582.0,4824.0,1.0
"beta_dist[Bae, Ji Hwan]",-2.713,0.488,-3.61,-1.761,0.004,0.007,12680.0,5421.0,1.0
"beta_dist[Baldwin, Brooks]",-0.801,0.441,-1.637,-0.033,0.009,0.005,2436.0,3055.0,1.0
"beta_dist[Barger, Addison]",-1.963,0.339,-2.6,-1.329,0.005,0.004,4399.0,5385.0,1.0
"beta_dist[Barrosa, Jorge]",-2.846,0.47,-3.754,-1.974,0.004,0.006,11425.0,5364.0,1.0
"beta_dist[Bauers, Jake]",-2.772,0.49,-3.715,-1.866,0.004,0.007,13035.0,5043.0,1.0
"beta_dist[Beavers, Dylan]",-2.95,0.457,-3.825,-2.098,0.005,0.006,8272.0,5766.0,1.0
"beta_dist[Bellinger, Cody]",-2.904,0.358,-3.589,-2.252,0.003,0.004,10478.0,6350.0,1.0
"beta_dist[Benson, Will]",-3.114,0.386,-3.826,-2.37,0.004,0.005,7756.0,5138.0,1.0
"beta_dist[Biggio, Cavan]",-2.814,0.477,-3.72,-1.93,0.005,0.007,11199.0,4759.0,1.0
"beta_dist[Black, Tyler]",-2.724,0.498,-3.61,-1.738,0.005,0.006,10007.0,5088.0,1.0
"beta_dist[Bleday, JJ]",-2.902,0.396,-3.643,-2.15,0.004,0.005,10361.0,5733.0,1.0
"beta_dist[Bouchard, Sean]",-2.751,0.463,-3.631,-1.875,0.004,0.006,12601.0,5642.0,1.0
"beta_dist[Brennan, Will]",-2.49,0.468,-3.348,-1.592,0.004,0.006,11963.0,5728.0,1.0
"beta_dist[Brown, Seth]",-2.752,0.484,-3.66,-1.827,0.005,0.008,11316.0,4913.0,1.0
"beta_dist[Bruján, Vidal]",-3.104,0.451,-3.923,-2.242,0.005,0.006,8805.0,5232.0,1.0
"beta_dist[Burleson, Alec]",-2.158,0.353,-2.813,-1.5,0.004,0.004,8968.0,6338.0,1.0
"beta_dist[Butler, Lawrence]",-1.899,0.279,-2.452,-1.4,0.003,0.003,7022.0,5768.0,1.0
"beta_dist[Caballero, José]",-3.152,0.392,-3.847,-2.378,0.004,0.005,10210.0,5641.0,1.0
